Unique Household ID,ISO3 country code,Urban/Rural Classification,LGA,State,Zone,Household size (number of individuals),adult-equivalent household size,Mean household dietary Energy Requirement (kcal/day) per capita,"FAO minimum dietary energy requirement, PC all population","Quintile, defined by tot. HH PC Exp.",Household Weight,Total expenditure (NGN/d) per PC (income proxy) in survey period,Total food expenditure (NGN/d) per PC (income proxy) in survey period,Income quintile across total household population (weighted),Food poverty line,PC Value (NGN/day),PC Quant (g/day - with edible),PC Kcals / day,AE Kcals / day,Latent PC Value (NGN/day),PC Value (NGN/day) - INCOME effect,PC Quant (g/day - with edible) - INCOME effect,PC Kcals / day - INCOME effect,PC Value (NGN/day) - OWN-PRICE effect,PC Quant (g/day - with edible) - OWN-PRICE effect,PC Kcals / day - OWN-PRICE effect,PC Value (NGN/day) - COMBINED-PRICE effect,PC Quant (g/day - with edible) - COMBINED-PRICE effect,PC Kcals / day - COMBINED-PRICE effect,PC Value (NGN/day) - TOTAL effect,PC Quant (g/day - with edible) - TOTAL effect,PC Kcals / day - TOTAL effect,HH Food Poor-Baseline,HH Food Poor - INCOME EFFECT,HH Food Poor - OWN-PRICE EFFECT,HH Food Poor - COMBINED-PRICE EFFECT,HH Food Poor - TOTAL EFFECT,HH Kcal-inad-Baseline,HH Kcal-inad - INCOME EFFECT,HH Kcal-inad - OWN-PRICE EFFECT,HH Kcal-inad - COMBINED-PRICE EFFECT,HH Kcal-inad - TOTAL EFFECT,HH Hungry-Baseline,HH Hungry - INCOME EFFECT,HH Hungry - OWN-PRICE EFFECT,HH Hungry - COMBINED-PRICE EFFECT,HH Hungry - TOTAL EFFECT,Pop. Weight,Unnamed: 50,Total Ind Pop.,Total HH Pop.
102165,NGA,urban,102. ABA SOUTH,1. Abia,4. South East,2,2.191394806297346,5478.487015743365,1713,4,1113.500101665322,838.4622802734375,327.1214904785156,5,234.02386474609375,339.49758064746857,1683.5235894099087,2850.293039858341,2601.3504947423935,343.9320294857025,339.49758064746857,1683.5235894099087,2850.293039858341,339.49758064746857,1683.5235894099087,2850.293039858341,339.49758064746857,1683.5235894099087,2850.293039858341,339.49758064746857,1683.5235894099087,2850.293039858341,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,2227.000203330644,National,9725669.305433271,1831482.6814108356
102175,NGA,urban,102. ABA SOUTH,1. Abia,4. South East,3,2.9898296648634504,7474.574162158625,1713,4,1113.500101665322,879.3461303710938,501.3054504394531,5,242.07962036132812,498.0583352446556,1567.7967677033228,3078.130683898926,3088.6013436317444,487.3841605782509,498.0583352446556,1567.7967677033228,3078.130683898926,498.0583352446556,1567.7967677033228,3078.130683898926,498.0583352446556,1567.7967677033228,3078.130683898926,498.0583352446556,1567.7967677033228,3078.130683898926,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3340.500304995966,Rural,6197291.385697176,1123445.37709461
102178,NGA,urban,102. ABA SOUTH,1. Abia,4. South East,3,2.869916521522023,7174.7913038050565,1713,4,1113.500101665322,847.2985229492188,250.7781524658203,5,242.07962036132812,233.7136458158493,705.9951368983952,1213.8445255160332,1268.8639361858368,232.61023718118668,233.7136458158493,705.9951368983952,1213.8445255160332,233.7136458158493,705.9951368983952,1213.8445255160332,233.7136458158493,705.9951368983952,1213.8445255160332,233.7136458158493,705.9951368983952,1213.8445255160332,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3340.500304995966,Peri-Urban,0.0,
102312,NGA,urban,102. ABA SOUTH,1. Abia,4. South East,5,5.139448447718687,12848.621119296718,1713,2,1113.500101665322,578.9373779296875,267.054443359375,4,248.02731323242188,270.7882584929466,870.9122792574444,1556.4626113772392,1514.2311577796936,262.6504742503166,270.7882584929466,870.9122792574444,1556.4626113772392,270.7882584929466,870.9122792574444,1556.4626113772392,270.7882584929466,870.9122792574444,1556.4626113772392,270.7882584929466,870.9122792574444,1556.4626113772392,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5567.5005083266105,Urban,3528377.9197361036,708037.3043162238
103487,NGA,rural,103. AROCHUKWU,1. Abia,4. South East,1,0.838781217144763,2096.9530428619073,1713,4,1469.8188898274227,706.0838623046875,563.813232421875,4,246.70559692382812,472.91592836380005,2333.4074917888975,4466.430708408356,5324.905580282211,461.89193189144135,472.91592836380005,2333.4074917888975,4466.430708408356,472.91592836380005,2333.4074917888975,4466.430708408356,472.91592836380005,2333.4074917888975,4466.430708408356,472.91592836380005,2333.4074917888975,4466.430708408356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1469.8188898274227,,,
104501,NGA,rural,104. BENDE,1. Abia,4. South East,1,0.838781217144763,2096.9530428619073,1713,5,1113.5001016653223,1190.0692138671875,501.6044006347656,5,243.7440643310547,420.7363221645355,1123.7936802135944,2248.985209465027,2681.2536673545837,421.7512514591217,420.7363221645355,1123.7936802135944,2248.985209465027,420.7363221645355,1123.7936802135944,2248.985209465027,420.7363221645355,1123.7936802135944,2248.985209465027,420.7363221645355,1123.7936802135944,2248.985209465027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1113.5001016653223,,,
104512,NGA,rural,104. BENDE,1. Abia,4. South East,4,3.09423738679505,7735.593466987626,1713,4,1113.500101665322,528.8412475585938,372.98052978515625,3,246.70559692382812,288.5225774049759,1324.3767753575867,2557.672222137451,3306.3684616088867,285.8493934869766,288.5225774049759,1324.3767753575867,2557.672222137451,288.5225774049759,1324.3767753575867,2557.672222137451,288.5225774049759,1324.3767753575867,2557.672222137451,288.5225774049759,1324.3767753575867,2557.672222137451,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,4454.000406661288,,,
106021,NGA,rural,106. ISIALA NGWA NORTH,1. Abia,4. South East,3,2.8086858847555805,7021.714711888952,1713,5,1250.449985388329,803.5545654296875,347.6618347167969,4,221.56393432617188,323.705270498991,1758.8605852238622,2811.7925295829773,3003.3182258605957,323.7861486673355,323.705270498991,1758.8605852238622,2811.7925295829777,323.705270498991,1758.8605852238622,2811.7925295829777,323.705270498991,1758.8605852238622,2811.7925295829777,323.705270498991,1758.8605852238622,2811.7925295829777,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3751.349956164987,,,
107046,NGA,rural,107. ISIALA NGWA SOUTH,1. Abia,4. South East,9,6.466802089140028,16167.005222850072,1713,4,1712.2889366986783,605.2824096679688,427.6020812988281,4,241.7771759033203,306.770236954093,627.5233661907904,1082.1610641479492,1506.0689117908478,305.6028888076544,306.770236954093,627.5233661907904,1082.1610641479492,306.770236954093,627.5233661907904,1082.1610641479492,306.770236954093,627.5233661907904,1082.1610641479492,306.770236954093,627.5233661907904,1082.1610641479492,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,15410.600430288105,,,
108248,NGA,rural,108. ISUIKWATO,1. Abia,4. South East,3,3.126423797642467,7816.059494106168,1713,4,2230.9052778559135,634.5035400390625,315.92962646484375,4,243.91880798339844,327.52895468473434,1517.9429980476145,2543.4783322811127,2440.62722581625,321.16291104257107,327.52895468473434,1517.9429980476145,2543.4783322811127,327.52895468473434,1517.9429980476145,2543.4783322811127,327.52895468473434,1517.9429980476145,2543.4783322811127,327.52895468473434,1517.9429980476145,2543.4783322811127,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,6692.71583356774,,,
